file_id,noise_type,snr_db_condition,config,snr_before_db,snr_after_db,snr_improvement_db,stoi,pesq,transcript_delta
holdout_01_8842-302196-0003,brown_hum,15,dsp_ml,11.94,11.49,-0.44,0.8934,,
holdout_01_8842-302196-0003,brown_hum,15,agent,11.94,11.38,-0.56,0.8877,,
holdout_01_8842-302196-0003,tonal,-5,dsp_only,-84.35,-58.85,25.5,0.6274,,
holdout_01_8842-302196-0003,tonal,-5,dsp_ml,-84.35,-58.94,25.41,0.6258,,
holdout_01_8842-302196-0003,tonal,-5,agent,-84.35,-59.54,24.81,0.6208,,
holdout_01_8842-302196-0003,tonal,0,dsp_only,1.61,-9.37,-10.98,0.7459,,
holdout_01_8842-302196-0003,tonal,0,dsp_ml,1.61,-9.61,-11.22,0.7453,,
holdout_01_8842-302196-0003,tonal,0,agent,5.75,-16.11,-21.86,0.7406,,
holdout_01_8842-302196-0003,tonal,5,dsp_only,-0.01,-9.77,-9.76,0.8083,,
holdout_01_8842-302196-0003,tonal,5,dsp_ml,-0.01,-10.22,-10.21,0.805,,
holdout_01_8842-302196-0003,tonal,5,agent,4.58,-16.12,-20.7,0.8044,,
holdout_01_8842-302196-0003,tonal,10,dsp_only,1.19,-3.49,-4.68,0.8328,,
holdout_01_8842-302196-0003,tonal,10,dsp_ml,1.19,-3.78,-4.97,0.8277,,
holdout_01_8842-302196-0003,tonal,10,agent,3.58,-13.2,-16.78,0.8295,,
holdout_01_8842-302196-0003,tonal,15,dsp_only,2.36,0.01,-2.35,0.8511,,
holdout_01_8842-302196-0003,tonal,15,dsp_ml,2.36,-0.12,-2.48,0.8465,,
holdout_01_8842-302196-0003,tonal,15,agent,2.36,-3.55,-5.91,0.8401,,
holdout_01_8842-302196-0003,bursty,-5,dsp_only,-84.59,-53.49,31.1,0.5926,,
holdout_01_8842-302196-0003,bursty,-5,dsp_ml,-84.59,-53.56,31.03,0.5912,,
holdout_01_8842-302196-0003,bursty,-5,agent,-84.59,-56.29,28.31,0.5886,,
holdout_01_8842-302196-0003,bursty,0,dsp_only,1.64,-9.67,-11.31,0.6976,,
holdout_01_8842-302196-0003,bursty,0,dsp_ml,1.64,-10.42,-12.06,0.6968,,
holdout_01_8842-302196-0003,bursty,0,agent,5.78,-21.56,-27.35,0.6904,,
holdout_01_8842-302196-0003,bursty,5,dsp_only,1.03,-13.85,-14.88,0.7764,,
holdout_01_8842-302196-0003,bursty,5,dsp_ml,1.03,-14.7,-15.73,0.773,,
holdout_01_8842-302196-0003,bursty,5,agent,5.03,-21.36,-26.38,0.7712,,
holdout_01_8842-302196-0003,bursty,10,dsp_only,0.66,-11.7,-12.36,0.821,,
holdout_01_8842-302196-0003,bursty,10,dsp_ml,0.66,-12.14,-12.79,0.8153,,
holdout_01_8842-302196-0003,bursty,10,agent,4.1,-18.58,-22.68,0.8158,,
holdout_01_8842-302196-0003,bursty,15,dsp_only,2.36,-7.84,-10.2,0.8446,,
holdout_01_8842-302196-0003,bursty,15,dsp_ml,2.36,-8.09,-10.45,0.8381,,
holdout_01_8842-302196-0003,bursty,15,agent,2.36,-10.82,-13.18,0.8335,,
